id,go_to_waiting_room_min_time_span,go_to_platform_max_time_span,min_coming_time_span_with_ticket,max_coming_time_span_with_ticket,min_coming_time_span_without_ticket,max_coming_time_span_without_ticket,internal_arrival_time,min_arriving_passenger_count,max_arriving_passenger_count,min_departuring_passenger_count,max_departuring_passenger_count,average_probability_of_complaining,average_probability_of_buying_ticket,min_serving_information_time,max_serving_information_time,min_selling_ticket_time,max_selling_ticket_time,external_delay_info_time_span,platform_count,info_desk_count,cash_desk_count,scheduling_algorithm,waiting_room_capacity,created_at,updated_at,default_platform_waiting_time,min_external_delay,max_external_delay,average_probability_of_external_delay,min_companion_coming_time_span,max_companion_coming_time_span,companion_count_distribution,visitor_coming_distribution,average_probability_of_getting_information,output
104,12,5,15,45,15,50,5,10,60,10,60,15,50,1,3,1,3,30,5,7,5,random,200,2014-04-07 19:42:56.809566,2014-04-07 19:42:56.809566,10,5,30,50,10,20,\x2d2d2d200a2d2033302e300a2d2033302e300a2d2032302e300a2d2031302e300a2d20352e300a2d20352e300a2d20302e300a,\x2d2d2d200a2d2032300a2d2033300a2d2034300a2d2035300a2d2036300a2d2037300a2d2038300a2d2039300a2d203130300a2d2039300a2d2038300a2d2037300a,30,
105,12,5,15,45,15,50,5,10,60,10,60,15,50,1,3,1,3,30,5,7,5,random,200,2015-02-08 09:36:11.891832,2015-02-08 09:36:11.891832,13,5,30,50,10,26,\x2d2d2d200a2d2033302e300a2d2033302e300a2d2032302e300a2d2031302e300a2d20352e300a2d20352e300a2d20302e300a,\x2d2d2d200a2d2032300a2d2033300a2d2034300a2d2035300a2d2036300a2d2037300a2d2038300a2d2039300a2d2035340a2d2039300a2d2038300a2d2037300a,30,
93,12,5,15,45,15,50,5,10,60,10,60,15,50,1,3,1,3,30,5,7,5,wait,200,2013-01-11 11:21:29.53495,2013-01-11 11:21:29.53495,10,5,30,50,10,20,\x2d2d2d200a2d2033302e300a2d2033302e300a2d2032302e300a2d2031302e300a2d20352e300a2d20352e300a2d20302e300a,\x2d2d2d200a2d2032300a2d2033300a2d2034300a2d2035300a2d2036300a2d2037300a2d2038300a2d2039300a2d203130300a2d2039300a2d2038300a2d2037300a,30,
98,24,5,15,41,15,35,5,10,80,10,61,10,53,1,10,1,11,24,5,7,5,random,200,2013-05-30 12:17:47.398196,2013-05-30 12:17:47.398196,8,5,44,32,0,20,\x2d2d2d200a2d2033302e300a2d2033302e300a2d2032302e300a2d2031392e3934330a2d20352e300a2d2031322e3236380a2d20302e300a,\x2d2d2d200a2d2032300a2d2033300a2d2034300a2d2035300a2d2039370a2d2037300a2d2038300a2d2036310a2d203130300a2d2039300a2d2035380a2d2037300a,21,
99,12,5,15,45,15,50,5,10,70,10,50,19,50,1,3,1,3,30,5,7,5,random,200,2013-06-27 15:29:44.422503,2013-06-27 15:29:44.422503,10,5,30,50,10,20,\x2d2d2d200a2d2033302e300a2d2033302e300a2d2032302e300a2d2031302e300a2d2031342e3432330a2d20352e300a2d20302e300a,\x2d2d2d200a2d2032300a2d2033300a2d2034300a2d2035300a2d2036300a2d2037300a2d2038300a2d2039300a2d203130300a2d2039300a2d2038300a2d2037300a,30,
100,12,5,15,45,15,50,5,10,95,10,52,15,50,1,3,1,3,30,17,7,10,random,1126,2013-07-21 20:59:31.34019,2013-07-21 20:59:31.34019,10,5,30,50,10,20,\x2d2d2d200a2d2033302e300a2d2033302e300a2d2032302e300a2d2031302e300a2d20352e300a2d20352e300a2d20302e300a,\x2d2d2d200a2d2032300a2d2033300a2d2034300a2d2035300a2d2036300a2d2037300a2d2038300a2d2039300a2d203130300a2d2039300a2d2038300a2d2037300a,30,
101,30,5,15,45,15,50,5,10,106,10,104,15,50,1,3,1,3,30,5,7,5,wait,200,2013-07-23 13:56:51.062517,2013-07-23 13:59:39.694157,10,5,30,50,10,20,\x2d2d2d200a2d2033302e300a2d2033302e300a2d2032302e300a2d2031302e300a2d20352e300a2d20352e300a2d20312e3134380a,\x2d2d2d200a2d2032300a2d2033300a2d2034300a2d2035300a2d2036300a2d2037300a2d2038300a2d2039300a2d203130300a2d2039300a2d2038300a2d2037300a,30,output.json.gz
102,12,5,15,45,15,50,5,3,84,0,100,15,50,1,3,1,3,30,5,7,5,random,200,2013-08-15 13:23:03.214885,2013-08-15 13:23:03.214885,10,5,30,50,10,20,\x2d2d2d200a2d2033302e300a2d2033302e300a2d2032302e300a2d2031302e300a2d20352e300a2d20352e300a2d20302e300a,\x2d2d2d200a2d2032300a2d2033300a2d2034300a2d2035300a2d2036300a2d2037300a2d2038300a2d2039300a2d203130300a2d2039300a2d2038300a2d2037300a,30,
90,12,5,15,45,15,50,5,10,60,10,60,15,50,1,3,1,3,30,5,7,5,random,200,2013-01-10 21:07:36.79482,2013-01-10 21:07:36.79482,10,5,30,50,10,20,\x2d2d2d200a2d2033302e300a2d2033302e300a2d2032302e300a2d2031302e300a2d20352e300a2d20352e300a2d20302e300a,\x2d2d2d200a2d2032300a2d2033300a2d2034300a2d2035300a2d2036300a2d2037300a2d2038300a2d2039300a2d203130300a2d2039300a2d2038300a2d2037300a,30,
91,12,5,15,45,15,50,8,10,60,10,60,15,50,1,3,1,3,30,5,7,5,random,200,2013-01-10 21:15:21.43446,2013-01-10 21:15:21.43446,10,5,30,50,10,20,\x2d2d2d200a2d2033302e300a2d2033302e300a2d2032302e300a2d2031302e300a2d20352e300a2d20352e300a2d20302e300a,\x2d2d2d200a2d2032300a2d2033300a2d2034300a2d2035300a2d2036300a2d2037300a2d2038300a2d2039300a2d203130300a2d2039300a2d2038300a2d2037300a,30,
